Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,Prevalence of Undernourishment,29.5,35.6,39.2,43.3,45.4,45.6,45.0,44.0,43.8,45.2,46.7,46.7,43.6,39.3,35.2,32.3,29.9,27.7,26.0,24.7,24.3,24.4,25.1,26.0,26.8
Albania,ALB,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Prevalence of Undernourishment,7.7,7.4,7.1,7.2,7.7,8.4,8.9,9.2,9.1,8.7,8.4,8.0,7.6,7.2,7.0,6.8,6.4,6.1,5.6,5.1,<5.0,<5.0,<5.0,<5.0,<5.0
American Samoa,ASM,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Prevalence of Undernourishment,63.5,64.5,64.6,64.4,62.2,59.5,56.8,54.8,53.1,51.1,48.9,45.8,41.8,37.7,34.2,31.3,28.6,25.8,23.1,20.7,18.9,17.5,16.5,15.3,14.2
Antigua and Barbuda,ATG,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Prevalence of Undernourishment,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Armenia,ARM,Prevalence of Undernourishment,27.3,27.3,27.3,27.3,22.7,19.6,17.0,17.4,19.0,21.4,23.0,22.3,19.2,14.7,10.9,8.2,6.7,6.1,6.1,6.5,6.8,6.8,6.7,6.3,5.8
Aruba,ABW,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Prevalence of Undernourishment,23.6,23.6,23.6,23.6,25.4,27.4,27.9,28.5,26.5,22.5,17.1,12.8,9.4,6.7,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
Bahamas,BHS,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Prevalence of Undernourishment,,,,,,,,,,,,,,,,,,,,,,,,,
